 no. of detectors, no. of ut parameters                                         
   700     5 
 det, delta, len2,code, 2theta, ut1, ut2, ut3, ut4, ut5                         
   309    0.000    3.743  300   9.445   2.000   0.000   0.000 226.000   2.000
   310    0.000    3.762  300   9.313   2.000   0.000   0.000 226.000   2.000
   311    0.000    3.782  300   9.182   2.000   0.000   0.000 226.000   2.000
   312    0.000    3.801  300   9.052   2.000   0.000   0.000 226.000   2.000
   313    0.000    3.820  300   8.924   2.000   0.000   0.000 226.000   2.000
   314    0.000    3.839  300   8.797   2.000   0.000   0.000 226.000   2.000
   315    0.000    3.858  300   8.671   2.000   0.000   0.000 226.000   2.000
   316    0.000    3.878  300   8.546   2.000   0.000   0.000 226.000   2.000
   317    0.000    3.897  300   8.423   2.000   0.000   0.000 226.000   2.000
   318    0.000    3.916  300   8.301   2.000   0.000   0.000 226.000   2.000
   319    0.000    3.935  300   8.180   2.000   0.000   0.000 226.000   2.000
   320    0.000    3.955  300   8.060   2.000   0.000   0.000 226.000   2.000
   321    0.000    3.594  300  10.670   2.000   0.000   0.000 102.000   2.000
   322    0.000    3.613  300  10.516   2.000   0.000   0.000 102.000   2.000
   323    0.000    3.631  300  10.363   2.000   0.000   0.000 102.000   2.000
   324    0.000    3.650  300  10.211   2.000   0.000   0.000 102.000   2.000
   325    0.000    3.669  300  10.061   2.000   0.000   0.000 102.000   2.000
   326    0.000    3.687  300   9.913   2.000   0.000   0.000 102.000   2.000
   327    0.000    3.706  300   9.766   2.000   0.000   0.000 102.000   2.000
   328    0.000    3.725  300   9.620   2.000   0.000   0.000 102.000   2.000
   329    0.000    3.744  300   9.476   2.000   0.000   0.000 102.000   2.000
   330    0.000    3.763  300   9.334   2.000   0.000   0.000 102.000   2.000
   331    0.000    3.781  300   9.193   2.000   0.000   0.000 102.000   2.000
   332    0.000    3.800  300   9.053   2.000   0.000   0.000 102.000   2.000
   333    0.000    3.819  300   8.915   2.000   0.000   0.000 102.000   2.000
   334    0.000    3.838  300   8.778   2.000   0.000   0.000 102.000   2.000
   335    0.000    3.857  300   8.642   2.000   0.000   0.000 102.000   2.000
   336    0.000    3.876  300   8.508   2.000   0.000   0.000 102.000   2.000
   337    0.000    3.895  300   8.375   2.000   0.000   0.000 102.000   2.000
   338    0.000    3.914  300   8.243   2.000   0.000   0.000 102.000   2.000
   339    0.000    3.933  300   8.112   2.000   0.000   0.000 102.000   2.000
   340    0.000    3.952  300   7.983   2.000   0.000   0.000 102.000   2.000
   341    0.000    3.593  300  10.604   2.000   0.000   0.000  78.000   2.000
   342    0.000    3.611  300  10.454   2.000   0.000   0.000  78.000   2.000
