 Number_of_detectors, Number of ut parameters
               908                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 20405006    0.00000    3.68787  300.00000   10.65647    0.00000    0.00000    0.00000  205.71000    2.00000
 20405007    0.00000    3.70594  300.00000   10.52378    0.00000    0.00000    0.00000  205.71000    2.00000
 20405008    0.00000    3.72403  300.00000   10.39237    0.00000    0.00000    0.00000  205.71000    2.00000
 20405009    0.00000    3.74214  300.00000   10.26224    0.00000    0.00000    0.00000  205.71000    2.00000
 20405010    0.00000    3.76027  300.00000   10.13337    0.00000    0.00000    0.00000  205.71000    2.00000
 20405011    0.00000    3.77842  300.00000   10.00574    0.00000    0.00000    0.00000  205.71000    2.00000
 20405012    0.00000    3.79659  300.00000    9.87933    0.00000    0.00000    0.00000  205.71000    2.00000
 20405013    0.00000    3.81477  300.00000    9.75413    0.00000    0.00000    0.00000  205.71000    2.00000
 20405014    0.00000    3.83297  300.00000    9.63012    0.00000    0.00000    0.00000  205.71000    2.00000
 20405015    0.00000    3.85119  300.00000    9.50729    0.00000    0.00000    0.00000  205.71000    2.00000
 20405016    0.00000    3.86943  300.00000    9.38562    0.00000    0.00000    0.00000  205.71000    2.00000
 20405017    0.00000    3.88769  300.00000    9.26510    0.00000    0.00000    0.00000  205.71000    2.00000
 20405018    0.00000    3.90596  300.00000    9.14570    0.00000    0.00000    0.00000  205.71000    2.00000
 20406001    0.00000    3.59783  300.00000   11.25777    0.00000    0.00000    0.00000  231.42000    2.00000
 20406002    0.00000    3.61581  300.00000   11.11875    0.00000    0.00000    0.00000  231.42000    2.00000
 20406003    0.00000    3.63381  300.00000   10.98112    0.00000    0.00000    0.00000  231.42000    2.00000
 20406004    0.00000    3.65183  300.00000   10.84485    0.00000    0.00000    0.00000  231.42000    2.00000
 20406005    0.00000    3.66988  300.00000   10.70992    0.00000    0.00000    0.00000  231.42000    2.00000
 20406006    0.00000    3.68794  300.00000   10.57631    0.00000    0.00000    0.00000  231.42000    2.00000
 20406007    0.00000    3.70602  300.00000   10.44402    0.00000    0.00000    0.00000  231.42000    2.00000
 20406008    0.00000    3.72412  300.00000   10.31301    0.00000    0.00000    0.00000  231.42000    2.00000
 20406009    0.00000    3.74225  300.00000   10.18327    0.00000    0.00000    0.00000  231.42000    2.00000
 20406010    0.00000    3.76039  300.00000   10.05478    0.00000    0.00000    0.00000  231.42000    2.00000
 20406011    0.00000    3.77855  300.00000    9.92753    0.00000    0.00000    0.00000  231.42000    2.00000
 20406012    0.00000    3.79672  300.00000    9.80151    0.00000    0.00000    0.00000  231.42000    2.00000
 20406013    0.00000    3.81492  300.00000    9.67669    0.00000    0.00000    0.00000  231.42000    2.00000
 20406014    0.00000    3.83313  300.00000    9.55306    0.00000    0.00000    0.00000  231.42000    2.00000
 20406015    0.00000    3.85137  300.00000    9.43060    0.00000    0.00000    0.00000  231.42000    2.00000
 20406016    0.00000    3.86962  300.00000    9.30930    0.00000    0.00000    0.00000  231.42000    2.00000
 20406017    0.00000    3.88788  300.00000    9.18915    0.00000    0.00000    0.00000  231.42000    2.00000
 20406018    0.00000    3.90617  300.00000    9.07012    0.00000    0.00000    0.00000  231.42000    2.00000
 20501001    0.00000    2.80059  300.00000   14.74074    0.00000    0.00000    0.00000  102.87000    2.00000
 20501002    0.00000    2.81850  300.00000   14.55927    0.00000    0.00000    0.00000  102.87000    2.00000
 20501003    0.00000    2.83644  300.00000   14.38010    0.00000    0.00000    0.00000  102.87000    2.00000
 20501004    0.00000    2.85440  300.00000   14.20318    0.00000    0.00000    0.00000  102.87000    2.00000
 20501005    0.00000    2.87239  300.00000   14.02848    0.00000    0.00000    0.00000  102.87000    2.00000
 20501006    0.00000    2.89041  300.00000   13.85596    0.00000    0.00000    0.00000  102.87000    2.00000
 20501007    0.00000    2.90845  300.00000   13.68557    0.00000    0.00000    0.00000  102.87000    2.00000
 20501008    0.00000    2.92652  300.00000   13.51730    0.00000    0.00000    0.00000  102.87000    2.00000
 20501009    0.00000    2.94462  300.00000   13.35109    0.00000    0.00000    0.00000  102.87000    2.00000
 20501010    0.00000    2.96274  300.00000   13.18692    0.00000    0.00000    0.00000  102.87000    2.00000
 20501011    0.00000    2.98088  300.00000   13.02475    0.00000    0.00000    0.00000  102.87000    2.00000
 20501012    0.00000    2.99905  300.00000   12.86454    0.00000    0.00000    0.00000  102.87000    2.00000
 20501013    0.00000    3.01723  300.00000   12.70626    0.00000    0.00000    0.00000  102.87000    2.00000
 20501014    0.00000    3.03545  300.00000   12.54989    0.00000    0.00000    0.00000  102.87000    2.00000
 20501015    0.00000    3.05368  300.00000   12.39538    0.00000    0.00000    0.00000  102.87000    2.00000
 20501016    0.00000    3.07194  300.00000   12.24272    0.00000    0.00000    0.00000  102.87000    2.00000
 20501017    0.00000    3.09022  300.00000   12.09186    0.00000    0.00000    0.00000  102.87000    2.00000
