 Number_of_detectors, Number of ut parameters
              1844                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 20117018    0.00000    5.52721  300.00000    1.29563    0.00000    0.00000    0.00000   69.16000    0.00000
 20117019    0.00000    5.52710  300.00000    1.24382    0.00000    0.00000    0.00000   69.16000    0.00000
 20117020    0.00000    5.52699  300.00000    1.19201    0.00000    0.00000    0.00000   69.16000    0.00000
 20117021    0.00000    5.52689  300.00000    1.14021    0.00000    0.00000    0.00000   69.16000    0.00000
 20117022    0.00000    5.52679  300.00000    1.08839    0.00000    0.00000    0.00000   69.16000    0.00000
 20117023    0.00000    5.52670  300.00000    1.03658    0.00000    0.00000    0.00000   69.16000    0.00000
 20117024    0.00000    5.52661  300.00000    0.98477    0.00000    0.00000    0.00000   69.16000    0.00000
 20117025    0.00000    5.52653  300.00000    0.93296    0.00000    0.00000    0.00000   69.16000    0.00000
 20117026    0.00000    5.52645  300.00000    0.88115    0.00000    0.00000    0.00000   69.16000    0.00000
 20117027    0.00000    5.52638  300.00000    0.82934    0.00000    0.00000    0.00000   69.16000    0.00000
 20117028    0.00000    5.52631  300.00000    0.77754    0.00000    0.00000    0.00000   69.16000    0.00000
 20117029    0.00000    5.52624  300.00000    0.72573    0.00000    0.00000    0.00000   69.16000    0.00000
 20117030    0.00000    5.52618  300.00000    0.67393    0.00000    0.00000    0.00000   69.16000    0.00000
 20117031    0.00000    5.52612  300.00000    0.62214    0.00000    0.00000    0.00000   69.16000    0.00000
 20117032    0.00000    5.52607  300.00000    0.57035    0.00000    0.00000    0.00000   69.16000    0.00000
 20117033    0.00000    5.52602  300.00000    0.51857    0.00000    0.00000    0.00000   69.16000    0.00000
 20118001    0.00000    5.52978  300.00000    2.17605    0.00000    0.00000    0.00000   55.26700    0.00000
 20118002    0.00000    5.52960  300.00000    2.12428    0.00000    0.00000    0.00000   55.26700    0.00000
 20118003    0.00000    5.52941  300.00000    2.07251    0.00000    0.00000    0.00000   55.26700    0.00000
 20118004    0.00000    5.52923  300.00000    2.02074    0.00000    0.00000    0.00000   55.26700    0.00000
 20118005    0.00000    5.52906  300.00000    1.96896    0.00000    0.00000    0.00000   55.26700    0.00000
 20118006    0.00000    5.52889  300.00000    1.91718    0.00000    0.00000    0.00000   55.26700    0.00000
 20118007    0.00000    5.52873  300.00000    1.86540    0.00000    0.00000    0.00000   55.26700    0.00000
 20118008    0.00000    5.52857  300.00000    1.81361    0.00000    0.00000    0.00000   55.26700    0.00000
 20118009    0.00000    5.52841  300.00000    1.76182    0.00000    0.00000    0.00000   55.26700    0.00000
 20118010    0.00000    5.52826  300.00000    1.71003    0.00000    0.00000    0.00000   55.26700    0.00000
 20118011    0.00000    5.52811  300.00000    1.65824    0.00000    0.00000    0.00000   55.26700    0.00000
 20118012    0.00000    5.52797  300.00000    1.60644    0.00000    0.00000    0.00000   55.26700    0.00000
 20118013    0.00000    5.52783  300.00000    1.55465    0.00000    0.00000    0.00000   55.26700    0.00000
 20118014    0.00000    5.52770  300.00000    1.50285    0.00000    0.00000    0.00000   55.26700    0.00000
 20118015    0.00000    5.52757  300.00000    1.45105    0.00000    0.00000    0.00000   55.26700    0.00000
 20118016    0.00000    5.52744  300.00000    1.39924    0.00000    0.00000    0.00000   55.26700    0.00000
 20118017    0.00000    5.52732  300.00000    1.34744    0.00000    0.00000    0.00000   55.26700    0.00000
 20118018    0.00000    5.52721  300.00000    1.29563    0.00000    0.00000    0.00000   55.26700    0.00000
 20118019    0.00000    5.52710  300.00000    1.24382    0.00000    0.00000    0.00000   55.26700    0.00000
 20118020    0.00000    5.52699  300.00000    1.19201    0.00000    0.00000    0.00000   55.26700    0.00000
 20118021    0.00000    5.52689  300.00000    1.14021    0.00000    0.00000    0.00000   55.26700    0.00000
 20118022    0.00000    5.52679  300.00000    1.08839    0.00000    0.00000    0.00000   55.26700    0.00000
 20118023    0.00000    5.52670  300.00000    1.03658    0.00000    0.00000    0.00000   55.26700    0.00000
