 Number_of_detectors, Number of ut parameters
               908                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 20405010    0.00000    3.76034  300.00000   10.08580    0.00000    0.00000    0.00000  205.71000    2.00000
 20405011    0.00000    3.77850  300.00000    9.95840    0.00000    0.00000    0.00000  205.71000    2.00000
 20405012    0.00000    3.79667  300.00000    9.83222    0.00000    0.00000    0.00000  205.71000    2.00000
 20405013    0.00000    3.81486  300.00000    9.70725    0.00000    0.00000    0.00000  205.71000    2.00000
 20405014    0.00000    3.83307  300.00000    9.58347    0.00000    0.00000    0.00000  205.71000    2.00000
 20405015    0.00000    3.85130  300.00000    9.46087    0.00000    0.00000    0.00000  205.71000    2.00000
 20405016    0.00000    3.86954  300.00000    9.33942    0.00000    0.00000    0.00000  205.71000    2.00000
 20405017    0.00000    3.88781  300.00000    9.21912    0.00000    0.00000    0.00000  205.71000    2.00000
 20405018    0.00000    3.90609  300.00000    9.09995    0.00000    0.00000    0.00000  205.71000    2.00000
 20406001    0.00000    3.59782  300.00000   11.38035    0.00000    0.00000    0.00000  231.42000    2.00000
 20406002    0.00000    3.61578  300.00000   11.24072    0.00000    0.00000    0.00000  231.42000    2.00000
 20406003    0.00000    3.63377  300.00000   11.10248    0.00000    0.00000    0.00000  231.42000    2.00000
 20406004    0.00000    3.65177  300.00000   10.96560    0.00000    0.00000    0.00000  231.42000    2.00000
 20406005    0.00000    3.66979  300.00000   10.83007    0.00000    0.00000    0.00000  231.42000    2.00000
 20406006    0.00000    3.68784  300.00000   10.69587    0.00000    0.00000    0.00000  231.42000    2.00000
 20406007    0.00000    3.70590  300.00000   10.56298    0.00000    0.00000    0.00000  231.42000    2.00000
 20406008    0.00000    3.72399  300.00000   10.43138    0.00000    0.00000    0.00000  231.42000    2.00000
 20406009    0.00000    3.74209  300.00000   10.30106    0.00000    0.00000    0.00000  231.42000    2.00000
 20406010    0.00000    3.76021  300.00000   10.17200    0.00000    0.00000    0.00000  231.42000    2.00000
 20406011    0.00000    3.77836  300.00000   10.04418    0.00000    0.00000    0.00000  231.42000    2.00000
 20406012    0.00000    3.79652  300.00000    9.91758    0.00000    0.00000    0.00000  231.42000    2.00000
 20406013    0.00000    3.81470  300.00000    9.79220    0.00000    0.00000    0.00000  231.42000    2.00000
 20406014    0.00000    3.83289  300.00000    9.66800    0.00000    0.00000    0.00000  231.42000    2.00000
 20406015    0.00000    3.85111  300.00000    9.54499    0.00000    0.00000    0.00000  231.42000    2.00000
 20406016    0.00000    3.86934  300.00000    9.42314    0.00000    0.00000    0.00000  231.42000    2.00000
 20406017    0.00000    3.88759  300.00000    9.30243    0.00000    0.00000    0.00000  231.42000    2.00000
 20406018    0.00000    3.90586  300.00000    9.18286    0.00000    0.00000    0.00000  231.42000    2.00000
 20501001    0.00000    2.80059  300.00000   14.73995    0.00000    0.00000    0.00000  102.87000    2.00000
 20501002    0.00000    2.81850  300.00000   14.55848    0.00000    0.00000    0.00000  102.87000    2.00000
 20501003    0.00000    2.83644  300.00000   14.37931    0.00000    0.00000    0.00000  102.87000    2.00000
 20501004    0.00000    2.85440  300.00000   14.20240    0.00000    0.00000    0.00000  102.87000    2.00000
 20501005    0.00000    2.87239  300.00000   14.02770    0.00000    0.00000    0.00000  102.87000    2.00000
 20501006    0.00000    2.89041  300.00000   13.85519    0.00000    0.00000    0.00000  102.87000    2.00000
 20501007    0.00000    2.90846  300.00000   13.68481    0.00000    0.00000    0.00000  102.87000    2.00000
 20501008    0.00000    2.92652  300.00000   13.51654    0.00000    0.00000    0.00000  102.87000    2.00000
 20501009    0.00000    2.94462  300.00000   13.35034    0.00000    0.00000    0.00000  102.87000    2.00000
