 Number_of_detectors, Number of ut parameters
              2257                       5
 Detector,     delta,      len2,      code,    2theta,       ut1,       ut2,       ut3,       ut4,       ut5
 20104010    0.00000    5.52826        300    1.71003    0.00000    0.00000    0.00000  263.05301    0.00000
 20104011    0.00000    5.52811        300    1.65824    0.00000    0.00000    0.00000  263.05301    0.00000
 20104012    0.00000    5.52797        300    1.60644    0.00000    0.00000    0.00000  263.05301    0.00000
 20104013    0.00000    5.52783        300    1.55465    0.00000    0.00000    0.00000  263.05301    0.00000
 20104014    0.00000    5.52770        300    1.50285    0.00000    0.00000    0.00000  263.05301    0.00000
 20104015    0.00000    5.52757        300    1.45105    0.00000    0.00000    0.00000  263.05301    0.00000
 20104016    0.00000    5.52744        300    1.39924    0.00000    0.00000    0.00000  263.05301    0.00000
 20104017    0.00000    5.52732        300    1.34744    0.00000    0.00000    0.00000  263.05301    0.00000
 20104018    0.00000    5.52721        300    1.29563    0.00000    0.00000    0.00000  263.05301    0.00000
 20104019    0.00000    5.52710        300    1.24382    0.00000    0.00000    0.00000  263.05301    0.00000
 20104020    0.00000    5.52699        300    1.19201    0.00000    0.00000    0.00000  263.05301    0.00000
 20104021    0.00000    5.52689        300    1.14021    0.00000    0.00000    0.00000  263.05301    0.00000
 20104022    0.00000    5.52679        300    1.08839    0.00000    0.00000    0.00000  263.05301    0.00000
 20104023    0.00000    5.52670        300    1.03658    0.00000    0.00000    0.00000  263.05301    0.00000
 20104024    0.00000    5.52661        300    0.98477    0.00000    0.00000    0.00000  263.05301    0.00000
 20104025    0.00000    5.52653        300    0.93296    0.00000    0.00000    0.00000  263.05301    0.00000
 20104026    0.00000    5.52645        300    0.88115    0.00000    0.00000    0.00000  263.05301    0.00000
 20104027    0.00000    5.52638        300    0.82934    0.00000    0.00000    0.00000  263.05301    0.00000
 20104028    0.00000    5.52631        300    0.77754    0.00000    0.00000    0.00000  263.05301    0.00000
 20104029    0.00000    5.52624        300    0.72573    0.00000    0.00000    0.00000  263.05301    0.00000
 20104030    0.00000    5.52618        300    0.67393    0.00000    0.00000    0.00000  263.05301    0.00000
 20104031    0.00000    5.52612        300    0.62214    0.00000    0.00000    0.00000  263.05301    0.00000
 20104032    0.00000    5.52607        300    0.57035    0.00000    0.00000    0.00000  263.05301    0.00000
