Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta    Len2(m)  Code    2theta  UT1  UT2  UT3  UT4  UT5
104023  0.0  2.246000  1000  9.760000  0  0  0  0  0.000000
104024  0.0  2.246000  1000  9.690322  0  0  0  0  0.000000
104025  0.0  2.246000  1000  9.862109  0  0  0  0  0.000000
104026  0.0  2.246000  1000  9.966675  0  0  0  0  0.000000
104027  0.0  2.246000  1000  10.084133  0  0  0  0  0.000000
104028  0.0  2.246000  1000  10.226124  0  0  0  0  0.000000
104029  0.0  2.246000  1000  10.530000  0  0  0  0  0.000000
104030  0.0  2.246000  1000  10.481799  0  0  0  0  0.000000
104031  0.0  2.246000  1000  10.780000  0  0  0  0  0.000000
104032  0.0  2.246000  1000  10.910000  0  0  0  0  0.000000
104033  0.0  2.246000  1000  10.801722  0  0  0  0  0.000000
104034  0.0  2.246000  1000  11.178845  0  0  0  0  0.000000
104035  0.0  2.246000  1000  11.327870  0  0  0  0  0.000000
104036  0.0  2.246000  1000  11.444930  0  0  0  0  0.000000
104037  0.0  2.247000  1000  11.549803  0  0  0  0  0.000000
104038  0.0  2.247000  1000  11.686864  0  0  0  0  0.000000
104039  0.0  2.247000  1000  11.837436  0  0  0  0  0.000000
104040  0.0  2.247000  1000  11.970947  0  0  0  0  0.000000
104041  0.0  2.247000  1000  12.091474  0  0  0  0  0.000000
104042  0.0  2.247000  1000  12.201941  0  0  0  0  0.000000
104043  0.0  2.247000  1000  12.327732  0  0  0  0  0.000000
104044  0.0  2.248000  1000  12.540000  0  0  0  0  0.000000
104045  0.0  2.248000  1000  12.757013  0  0  0  0  0.000000
104046  0.0  2.248000  1000  12.888064  0  0  0  0  0.000000
104047  0.0  2.248000  1000  12.992117  0  0  0  0  0.000000
104048  0.0  2.249000  1000  13.146288  0  0  0  0  0.000000
104049  0.0  2.249000  1000  13.280000  0  0  0  0  0.000000
104050  0.0  2.249000  1000  13.382561  0  0  0  0  0.000000
104051  0.0  2.249000  1000  13.510495  0  0  0  0  0.000000
104052  0.0  2.250000  1000  13.640749  0  0  0  0  0.000000
104053  0.0  2.250000  1000  13.767579  0  0  0  0  0.000000
104054  0.0  2.250000  1000  13.884791  0  0  0  0  0.000000
