Number_of_entries  Number_of_user_table_parameters
             3008                                5
Detector     Delta       Len2  Code    2theta  UT1  UT2  UT3  UT4  UT5
201001  0.0  2.359000  100  19.111513  0  0  0  0  120.000000
201002  0.0  2.359000  100  19.233222  0  0  0  0  120.000000
201003  0.0  2.359000  100  19.352777  0  0  0  0  120.000000
201004  0.0  2.359000  100  19.468555  0  0  0  0  120.000000
201005  0.0  2.359000  100  19.579348  0  0  0  0  120.000000
201006  0.0  2.359000  100  19.704877  0  0  0  0  120.000000
201007  0.0  2.359000  100  19.814236  0  0  0  0  120.000000
201008  0.0  2.359000  100  19.956593  0  0  0  0  120.000000
201009  0.0  2.359000  100  20.073529  0  0  0  0  120.000000
201010  0.0  2.359000  100  20.188106  0  0  0  0  120.000000
201011  0.0  2.359000  100  20.312675  0  0  0  0  120.000000
201012  0.0  2.162000  100  20.499548  0  0  0  0  120.000000
201013  0.0  2.162000  100  20.631188  0  0  0  0  120.000000
201014  0.0  2.162000  100  20.760949  0  0  0  0  120.000000
201015  0.0  2.162000  100  20.903549  0  0  0  0  120.000000
201016  0.0  2.162000  100  21.013444  0  0  0  0  120.000000
201017  0.0  2.162000  100  21.174121  0  0  0  0  120.000000
201018  0.0  2.162000  100  21.300035  0  0  0  0  120.000000
201019  0.0  2.162000  100  21.434642  0  0  0  0  120.000000
201020  0.0  2.162000  100  21.550912  0  0  0  0  120.000000
201021  0.0  2.162000  100  21.690237  0  0  0  0  120.000000
201022  0.0  2.162000  100  21.818680  0  0  0  0  120.000000
201023  0.0  1.983000  100  21.941259  0  0  0  0  120.000000
201024  0.0  1.983000  100  22.075565  0  0  0  0  120.000000
201025  0.0  1.983000  100  22.217159  0  0  0  0  120.000000
201026  0.0  1.983000  100  22.366865  0  0  0  0  120.000000
201027  0.0  1.983000  100  22.522925  0  0  0  0  120.000000
201028  0.0  1.983000  100  22.657166  0  0  0  0  120.000000
201029  0.0  1.983000  100  22.799316  0  0  0  0  120.000000
201030  0.0  1.983000  100  22.946967  0  0  0  0  120.000000
201031  0.0  1.983000  100  23.083123  0  0  0  0  120.000000
201032  0.0  1.983000  100  23.249160  0  0  0  0  120.000000
201033  0.0  1.983000  100  23.372111  0  0  0  0  120.000000
201034  0.0  1.820000  100  23.517228  0  0  0  0  120.000000
201035  0.0  1.820000  100  23.671580  0  0  0  0  120.000000
201036  0.0  1.820000  100  23.839903  0  0  0  0  120.000000
201037  0.0  1.820000  100  23.990924  0  0  0  0  120.000000
201038  0.0  1.820000  100  24.139685  0  0  0  0  120.000000
201039  0.0  1.820000  100  24.304108  0  0  0  0  120.000000
201040  0.0  1.820000  100  24.454388  0  0  0  0  120.000000
201041  0.0  1.820000  100  24.620494  0  0  0  0  120.000000
201042  0.0  1.820000  100  24.779330  0  0  0  0  120.000000
201043  0.0  1.820000  100  24.936884  0  0  0  0  120.000000
201044  0.0  1.820000  100  25.081061  0  0  0  0  120.000000
201045  0.0  1.673000  100  25.281586  0  0  0  0  120.000000
201046  0.0  1.673000  100  25.444966  0  0  0  0  120.000000
201047  0.0  1.673000  100  25.618555  0  0  0  0  120.000000
201048  0.0  1.673000  100  25.794840  0  0  0  0  120.000000
201049  0.0  1.673000  100  25.971438  0  0  0  0  120.000000
201050  0.0  1.673000  100  26.139415  0  0  0  0  120.000000
201051  0.0  1.673000  100  26.298783  0  0  0  0  120.000000
201052  0.0  1.673000  100  26.474405  0  0  0  0  120.000000
201053  0.0  1.673000  100  26.650069  0  0  0  0  120.000000
201054  0.0  1.673000  100  26.822593  0  0  0  0  120.000000
201055  0.0  1.673000  100  26.965961  0  0  0  0  120.000000
201056  0.0  1.539000  100  27.124567  0  0  0  0  120.000000
201057  0.0  1.539000  100  27.309276  0  0  0  0  120.000000
201058  0.0  1.539000  100  27.498748  0  0  0  0  120.000000
201059  0.0  1.539000  100  27.678590  0  0  0  0  120.000000
201060  0.0  1.539000  100  27.852627  0  0  0  0  120.000000
201061  0.0  1.539000  100  28.048132  0  0  0  0  120.000000
201062  0.0  1.539000  100  28.234370  0  0  0  0  120.000000
201063  0.0  1.539000  100  28.410844  0  0  0  0  120.000000
201064  0.0  1.539000  100  28.597086  0  0  0  0  120.000000
201065  0.0  1.539000  100  28.787098  0  0  0  0  120.000000
201066  0.0  1.539000  100  28.978091  0  0  0  0  120.000000
201067  0.0  1.417000  100  29.238428  0  0  0  0  120.000000
201068  0.0  1.417000  100  29.435414  0  0  0  0  120.000000
201069  0.0  1.417000  100  29.629617  0  0  0  0  120.000000
201070  0.0  1.417000  100  29.839540  0  0  0  0  120.000000
201071  0.0  1.417000  100  30.037775  0  0  0  0  120.000000
201072  0.0  1.417000  100  30.235531  0  0  0  0  120.000000
201073  0.0  1.417000  100  30.437987  0  0  0  0  120.000000
201074  0.0  1.417000  100  30.636731  0  0  0  0  120.000000
