Number of detectors, Number of user table parameters/detector                   
6284 6
Det# 	Delta	L2	Code 2theta  dcode eff_fac effc  res      dtime   phi            
501115  -1.00   1.3832  900   80.584  2.0  1.25000  1.0  0.00550  3.00   39.600
501116  -1.00   1.3755  900   80.379  2.0  1.25000  1.0  0.00550  3.00   39.600
501117  -1.00   1.3832  900   80.163  2.0  1.25000  1.0  0.00550  3.00   39.600
501118  -1.00   1.3755  900   79.680  2.0  1.25000  1.0  0.00550  3.00   39.600
501119  -1.00   1.3832  900   79.421  2.0  1.25000  1.0  0.00550  3.00   39.600
501120  -1.00   1.3755  900   79.253  2.0  1.25000  1.0  0.00550  3.00   39.600
501201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
501207  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502001  -1.00   1.3832  900  103.946  2.0  1.25000  1.0  0.00550  3.00   29.700
502002  -1.00   1.3755  900  103.733  2.0  1.25000  1.0  0.00550  3.00   29.700
502003  -1.00   1.3832  900  103.508  2.0  1.25000  1.0  0.00550  3.00   29.700
502004  -1.00   1.3755  900  103.320  2.0  1.25000  1.0  0.00550  3.00   29.700
502005  -1.00   1.3832  900  103.093  2.0  1.25000  1.0  0.00550  3.00   29.700
502006  -1.00   1.3755  900  102.897  2.0  1.25000  1.0  0.00550  3.00   29.700
502007  -1.00   1.3832  900  102.679  2.0  1.25000  1.0  0.00550  3.00   29.700
502008  -1.00   1.3755  900  102.481  2.0  1.25000  1.0  0.00550  3.00   29.700
502009  -1.00   1.3832  900  102.259  2.0  1.25000  1.0  0.00550  3.00   29.700
502010  -1.00   1.3755  900  102.067  2.0  1.25000  1.0  0.00550  3.00   29.700
502011  -1.00   1.3832  900  101.841  2.0  1.25000  1.0  0.00550  3.00   29.700
502012  -1.00   1.3755  900  101.640  2.0  1.25000  1.0  0.00550  3.00   29.700
502013  -1.00   1.3832  900  101.418  2.0  1.25000  1.0  0.00550  3.00   29.700
502014  -1.00   1.3755  900  101.219  2.0  1.25000  1.0  0.00550  3.00   29.700
502015  -1.00   1.3832  900  100.998  2.0  1.25000  1.0  0.00550  3.00   29.700
502016  -1.00   1.3755  900  100.782  2.0  1.25000  1.0  0.00550  3.00   29.700
502017  -1.00   1.3832  900  100.575  2.0  1.25000  1.0  0.00550  3.00   29.700
502018  -1.00   1.3755  900  100.604  2.0  1.25000  1.0  0.00550  3.00   29.700
502019  -1.00   1.3832  900  100.161  2.0  1.25000  1.0  0.00550  3.00   29.700
502020  -1.00   1.3755  900   99.980  2.0  1.25000  1.0  0.00550  3.00   29.700
502021  -1.00   1.3832  900   99.754  2.0  1.25000  1.0  0.00550  3.00   29.700
502022  -1.00   1.3755  900   99.553  2.0  1.25000  1.0  0.00550  3.00   29.700
502023  -1.00   1.3832  900   99.327  2.0  1.25000  1.0  0.00550  3.00   29.700
502024  -1.00   1.3755  900   99.141  2.0  1.25000  1.0  0.00550  3.00   29.700
502025  -1.00   1.3832  900   98.922  2.0  1.25000  1.0  0.00550  3.00   29.700
502026  -1.00   1.3755  900   98.716  2.0  1.25000  1.0  0.00550  3.00   29.700
502027  -1.00   1.3832  900   98.501  2.0  1.25000  1.0  0.00550  3.00   29.700
502028  -1.00   1.3755  900   98.308  2.0  1.25000  1.0  0.00550  3.00   29.700
