Number of entries, Number of user table parameters                              
7891 6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
101255  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101256  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101257  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101258  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101259  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101260  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101261  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101262  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101263  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101264  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101265  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101266  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101267  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101268  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101269  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101270  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101271  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101272  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101273  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101274  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101275  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101276  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101277  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101278  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101279  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101280  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101281  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
101282  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102001  -1.00   2.3690  900    5.442  2.0  1.25000  1.0  0.00200  3.00    0.000
102002  -1.00   2.3761  900    5.335  2.0  1.25000  1.0  0.00200  3.00    0.000
102003  -1.00   2.3684  900    5.675  2.0  1.25000  1.0  0.00200  3.00    0.000
102004  -1.00   2.3755  900    5.567  2.0  1.25000  1.0  0.00200  3.00    0.000
102005  -1.00   2.3679  900    5.907  2.0  1.25000  1.0  0.00200  3.00    0.000
102006  -1.00   2.3749  900    5.800  2.0  1.25000  1.0  0.00200  3.00    0.000
102007  -1.00   2.3674  900    6.141  2.0  1.25000  1.0  0.00200  3.00    0.000
102008  -1.00   2.3744  900    6.032  2.0  1.25000  1.0  0.00200  3.00    0.000
102009  -1.00   2.3670  900    6.373  2.0  1.25000  1.0  0.00200  3.00    0.000
102010  -1.00   2.3740  900    6.263  2.0  1.25000  1.0  0.00200  3.00    0.000
102011  -1.00   2.3666  900    6.607  2.0  1.25000  1.0  0.00200  3.00    0.000
102201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102012  -1.00   2.3735  900    6.496  2.0  1.25000  1.0  0.00200  3.00    0.000
102013  -1.00   2.3662  900    6.839  2.0  1.25000  1.0  0.00200  3.00    0.000
102014  -1.00   2.3731  900    6.729  2.0  1.25000  1.0  0.00200  3.00    0.000
102015  -1.00   2.3659  900    7.073  2.0  1.25000  1.0  0.00200  3.00    0.000
102016  -1.00   2.3728  900    6.961  2.0  1.25000  1.0  0.00200  3.00    0.000
102017  -1.00   2.3656  900    7.306  2.0  1.25000  1.0  0.00200  3.00    0.000
102018  -1.00   2.3725  900    7.194  2.0  1.25000  1.0  0.00200  3.00    0.000
102019  -1.00   2.3654  900    7.539  2.0  1.25000  1.0  0.00200  3.00    0.000
102020  -1.00   2.3723  900    7.427  2.0  1.25000  1.0  0.00200  3.00    0.000
102021  -1.00   2.3652  900    7.773  2.0  1.25000  1.0  0.00200  3.00    0.000
102205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102207  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102208  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102022  -1.00   2.3720  900    7.659  2.0  1.25000  1.0  0.00200  3.00    0.000
102023  -1.00   2.3650  900    8.006  2.0  1.25000  1.0  0.00200  3.00    0.000
102024  -1.00   2.3719  900    7.891  2.0  1.25000  1.0  0.00200  3.00    0.000
102025  -1.00   2.3649  900    8.240  2.0  1.25000  1.0  0.00200  3.00    0.000
102026  -1.00   2.3717  900    8.125  2.0  1.25000  1.0  0.00200  3.00    0.000
102027  -1.00   2.3649  900    8.473  2.0  1.25000  1.0  0.00200  3.00    0.000
102028  -1.00   2.3716  900    8.357  2.0  1.25000  1.0  0.00200  3.00    0.000
102029  -1.00   2.3648  900    8.707  2.0  1.25000  1.0  0.00200  3.00    0.000
102030  -1.00   2.3716  900    8.590  2.0  1.25000  1.0  0.00200  3.00    0.000
102209  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102210  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102211  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102212  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102031  -1.00   2.3649  900    8.940  2.0  1.25000  1.0  0.00200  3.00    0.000
102032  -1.00   2.3716  900    8.823  2.0  1.25000  1.0  0.00200  3.00    0.000
102033  -1.00   2.3649  900    9.173  2.0  1.25000  1.0  0.00200  3.00    0.000
102034  -1.00   2.3716  900    9.056  2.0  1.25000  1.0  0.00200  3.00    0.000
102035  -1.00   2.3650  900    9.407  2.0  1.25000  1.0  0.00200  3.00    0.000
102036  -1.00   2.3717  900    9.288  2.0  1.25000  1.0  0.00200  3.00    0.000
102037  -1.00   2.3652  900    9.640  2.0  1.25000  1.0  0.00200  3.00    0.000
102038  -1.00   2.3718  900    9.521  2.0  1.25000  1.0  0.00200  3.00    0.000
102213  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102214  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102215  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102216  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102039  -1.00   2.3654  900    9.873  2.0  1.25000  1.0  0.00200  3.00    0.000
102040  -1.00   2.3720  900    9.754  2.0  1.25000  1.0  0.00200  3.00    0.000
102041  -1.00   2.3656  900   10.107  2.0  1.25000  1.0  0.00200  3.00    0.000
102042  -1.00   2.3722  900    9.986  2.0  1.25000  1.0  0.00200  3.00    0.000
102043  -1.00   2.3658  900   10.341  2.0  1.25000  1.0  0.00200  3.00    0.000
102044  -1.00   2.3725  900   10.219  2.0  1.25000  1.0  0.00200  3.00    0.000
102045  -1.00   2.3662  900   10.573  2.0  1.25000  1.0  0.00200  3.00    0.000
102217  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102218  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102219  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102220  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102046  -1.00   2.3728  900   10.452  2.0  1.25000  1.0  0.00200  3.00    0.000
102047  -1.00   2.3665  900   10.807  2.0  1.25000  1.0  0.00200  3.00    0.000
102048  -1.00   2.3731  900   10.685  2.0  1.25000  1.0  0.00200  3.00    0.000
102049  -1.00   2.3669  900   11.040  2.0  1.25000  1.0  0.00200  3.00    0.000
102050  -1.00   2.3735  900   10.917  2.0  1.25000  1.0  0.00200  3.00    0.000
102051  -1.00   2.3674  900   11.272  2.0  1.25000  1.0  0.00200  3.00    0.000
102221  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102222  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102223  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102224  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102052  -1.00   2.3739  900   11.149  2.0  1.25000  1.0  0.00200  3.00    0.000
102053  -1.00   2.3678  900   11.505  2.0  1.25000  1.0  0.00200  3.00    0.000
102054  -1.00   2.3743  900   11.381  2.0  1.25000  1.0  0.00200  3.00    0.000
102055  -1.00   2.3684  900   11.739  2.0  1.25000  1.0  0.00200  3.00    0.000
102056  -1.00   2.3748  900   11.613  2.0  1.25000  1.0  0.00200  3.00    0.000
102225  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102226  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102227  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102228  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102057  -1.00   2.3689  900   11.971  2.0  1.25000  1.0  0.00200  3.00    0.000
102058  -1.00   2.3754  900   11.845  2.0  1.25000  1.0  0.00200  3.00    0.000
102059  -1.00   2.3695  900   12.203  2.0  1.25000  1.0  0.00200  3.00    0.000
102060  -1.00   2.3760  900   12.077  2.0  1.25000  1.0  0.00200  3.00    0.000
102229  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102230  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102231  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102232  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102233  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102234  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102235  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102236  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102237  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102238  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102239  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102240  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102241  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102242  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102243  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102244  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102245  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102246  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102247  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102248  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102249  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102250  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102251  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102252  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102253  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102254  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102255  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102256  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102257  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102258  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102259  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102260  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102261  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102262  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102263  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102264  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
102265  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00200  3.00    0.000
