Number of entries, Number of user table parameters                              
        9870           6
Detector Delta      L2 Code   2theta dcode eff_fac effc      res dtime      phi 
102059  -1.00   2.3735  900   12.201  2.0  1.25000  1.0   0.00200  3.00    0.000
102060  -1.00   2.3658  900   12.339  2.0  1.25000  1.0   0.00200  3.00    0.000
103001  -1.00   2.3735  900    5.631  2.0  1.25000  1.0   0.00200  3.00  -30.000
103002  -1.00   2.3658  900    6.126  2.0  1.25000  1.0   0.00200  3.00  -30.000
103003  -1.00   2.3735  900    5.589  2.0  1.25000  1.0   0.00200  3.00  -30.000
103004  -1.00   2.3658  900    6.178  2.0  1.25000  1.0   0.00200  3.00  -30.000
103005  -1.00   2.3735  900    6.295  2.0  1.25000  1.0   0.00200  3.00  -30.000
103006  -1.00   2.3658  900    6.500  2.0  1.25000  1.0   0.00200  3.00  -30.000
103007  -1.00   2.3735  900    6.723  2.0  1.25000  1.0   0.00200  3.00  -30.000
103008  -1.00   2.3658  900    6.788  2.0  1.25000  1.0   0.00200  3.00  -30.000
103009  -1.00   2.3735  900    7.105  2.0  1.25000  1.0   0.00200  3.00  -30.000
103010  -1.00   2.3658  900    6.974  2.0  1.25000  1.0   0.00200  3.00  -30.000
103011  -1.00   2.3735  900    6.715  2.0  1.25000  1.0   0.00200  3.00  -30.000
103012  -1.00   2.3658  900    6.819  2.0  1.25000  1.0   0.00200  3.00  -30.000
103013  -1.00   2.3735  900    6.984  2.0  1.25000  1.0   0.00200  3.00  -30.000
103014  -1.00   2.3658  900    6.457  2.0  1.25000  1.0   0.00200  3.00  -30.000
103015  -1.00   2.3735  900    7.855  2.0  1.25000  1.0   0.00200  3.00  -30.000
103016  -1.00   2.3658  900    6.885  2.0  1.25000  1.0   0.00200  3.00  -30.000
103017  -1.00   2.3735  900    7.433  2.0  1.25000  1.0   0.00200  3.00  -30.000
103018  -1.00   2.3658  900    7.446  2.0  1.25000  1.0   0.00200  3.00  -30.000
103019  -1.00   2.3735  900    7.926  2.0  1.25000  1.0   0.00200  3.00  -30.000
103020  -1.00   2.3658  900    7.415  2.0  1.25000  1.0   0.00200  3.00  -30.000
103021  -1.00   2.3735  900    7.578  2.0  1.25000  1.0   0.00200  3.00  -30.000
103022  -1.00   2.3658  900    7.443  2.0  1.25000  1.0   0.00200  3.00  -30.000
103023  -1.00   2.3735  900    7.783  2.0  1.25000  1.0   0.00200  3.00  -30.000
103024  -1.00   2.3658  900    7.892  2.0  1.25000  1.0   0.00200  3.00  -30.000
103025  -1.00   2.3735  900    7.702  2.0  1.25000  1.0   0.00200  3.00  -30.000
103026  -1.00   2.3658  900    8.595  2.0  1.25000  1.0   0.00200  3.00  -30.000
103027  -1.00   2.3735  900    9.462  2.0  1.25000  1.0   0.00200  3.00  -30.000
103028  -1.00   2.3658  900    8.431  2.0  1.25000  1.0   0.00200  3.00  -30.000
103029  -1.00   2.3735  900    8.488  2.0  1.25000  1.0   0.00200  3.00  -30.000
103030  -1.00   2.3658  900    8.638  2.0  1.25000  1.0   0.00200  3.00  -30.000
103031  -1.00   2.3735  900    8.798  2.0  1.25000  1.0   0.00200  3.00  -30.000
103032  -1.00   2.3658  900   10.114  2.0  1.25000  1.0   0.00200  3.00  -30.000
103033  -1.00   2.3735  900   10.196  2.0  1.25000  1.0   0.00200  3.00  -30.000
103034  -1.00   2.3658  900   10.314  2.0  1.25000  1.0   0.00200  3.00  -30.000
103035  -1.00   2.3735  900   10.494  2.0  1.25000  1.0   0.00200  3.00  -30.000
103036  -1.00   2.3658  900   10.613  2.0  1.25000  1.0   0.00200  3.00  -30.000
103037  -1.00   2.3735  900    9.481  2.0  1.25000  1.0   0.00200  3.00  -30.000
103038  -1.00   2.3658  900    9.603  2.0  1.25000  1.0   0.00200  3.00  -30.000
103039  -1.00   2.3735  900    9.708  2.0  1.25000  1.0   0.00200  3.00  -30.000
103040  -1.00   2.3658  900    9.831  2.0  1.25000  1.0   0.00200  3.00  -30.000
103041  -1.00   2.3735  900    9.970  2.0  1.25000  1.0   0.00200  3.00  -30.000
103042  -1.00   2.3658  900   10.102  2.0  1.25000  1.0   0.00200  3.00  -30.000
103043  -1.00   2.3735  900   10.193  2.0  1.25000  1.0   0.00200  3.00  -30.000
103044  -1.00   2.3658  900   10.325  2.0  1.25000  1.0   0.00200  3.00  -30.000
103045  -1.00   2.3735  900   10.433  2.0  1.25000  1.0   0.00200  3.00  -30.000
103046  -1.00   2.3658  900   11.402  2.0  1.25000  1.0   0.00200  3.00  -30.000
103047  -1.00   2.3735  900   11.453  2.0  1.25000  1.0   0.00200  3.00  -30.000
103048  -1.00   2.3658  900   11.660  2.0  1.25000  1.0   0.00200  3.00  -30.000
103049  -1.00   2.3735  900   11.744  2.0  1.25000  1.0   0.00200  3.00  -30.000
103050  -1.00   2.3658  900   11.074  2.0  1.25000  1.0   0.00200  3.00  -30.000
103051  -1.00   2.3735  900   11.159  2.0  1.25000  1.0   0.00200  3.00  -30.000
103052  -1.00   2.3658  900   11.888  2.0  1.25000  1.0   0.00200  3.00  -30.000
103053  -1.00   2.3735  900   11.988  2.0  1.25000  1.0   0.00200  3.00  -30.000
103054  -1.00   2.3658  900   12.125  2.0  1.25000  1.0   0.00200  3.00  -30.000
103055  -1.00   2.3735  900   11.648  2.0  1.25000  1.0   0.00200  3.00  -30.000
103056  -1.00   2.3658  900   11.791  2.0  1.25000  1.0   0.00200  3.00  -30.000
103057  -1.00   2.3735  900   12.237  2.0  1.25000  1.0   0.00200  3.00  -30.000
103058  -1.00   2.3658  900   12.363  2.0  1.25000  1.0   0.00200  3.00  -30.000
103059  -1.00   2.3735  900   12.129  2.0  1.25000  1.0   0.00200  3.00  -30.000
103060  -1.00   2.3658  900   12.246  2.0  1.25000  1.0   0.00200  3.00  -30.000
111001  -1.00   2.3653  900    7.168  2.0  1.25000  1.0   0.00200  3.00  150.000
111002  -1.00   2.3731  900    7.747  2.0  1.25000  1.0   0.00200  3.00  150.000
111003  -1.00   2.3653  900    7.330  2.0  1.25000  1.0   0.00200  3.00  150.000
111004  -1.00   2.3731  900    8.207  2.0  1.25000  1.0   0.00200  3.00  150.000
111005  -1.00   2.3653  900    7.776  2.0  1.25000  1.0   0.00200  3.00  150.000
111006  -1.00   2.3731  900    8.320  2.0  1.25000  1.0   0.00200  3.00  150.000
